epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2146,0.99732,3.84261,1.04858,2e-05,0.0047,1e-05,0,nan,nan,nan,0.00329825,0.00329825,0.0703158
2,36.5097,0.88057,2.82283,1.03367,0.20492,0.25289,0.12043,0.08884,1.11204,19.2105,1.31041,0.00656593,0.00656593,0.0402501
3,54.6113,0.83432,2.45171,1.04271,0.42189,0.25253,0.24311,0.18459,0.85885,19.6628,1.21706,0.00976761,0.00976761,0.0101185
4,71.7537,0.77081,2.15356,1.02288,0.51278,0.41934,0.36642,0.30247,0.70396,7.81637,1.08883,0.009703,0.009703,0.009703
5,88.7554,0.728,1.97797,1.01442,0.36174,0.44656,0.41259,0.35005,0.69084,5.26617,1.07048,0.009604,0.009604,0.009604
6,105.737,0.69884,1.77923,1.0013,0.53328,0.57913,0.54892,0.47095,0.57706,2.06469,0.97444,0.009505,0.009505,0.009505
7,122.705,0.66501,1.65271,0.97232,0.37258,0.67132,0.60985,0.52268,0.63367,1.95166,1.01999,0.009406,0.009406,0.009406
8,139.67,0.6402,1.46349,0.96787,0.54527,0.66517,0.71875,0.63091,0.53603,1.47775,0.94275,0.009307,0.009307,0.009307
9,156.65,0.635,1.36012,0.96466,0.6507,0.65901,0.73104,0.65486,0.50689,1.42946,0.94561,0.009208,0.009208,0.009208
10,173.635,0.61616,1.32396,0.96308,0.70835,0.62859,0.77738,0.69469,0.49431,1.28924,0.9282,0.009109,0.009109,0.009109
11,190.689,0.60512,1.26406,0.95031,0.72585,0.66697,0.77145,0.68061,0.51631,1.33559,0.93099,0.00901,0.00901,0.00901
12,207.68,0.59549,1.19239,0.94829,0.76954,0.72246,0.83,0.73867,0.50623,1.06054,0.91603,0.008911,0.008911,0.008911
13,224.686,0.58493,1.18231,0.94651,0.69239,0.64158,0.74622,0.66871,0.52115,1.35319,0.94653,0.008812,0.008812,0.008812
14,241.712,0.57891,1.12474,0.9394,0.73107,0.8072,0.87426,0.787,0.51577,1.00619,0.92013,0.008713,0.008713,0.008713
15,258.791,0.57927,1.01731,0.93078,0.72555,0.71179,0.80191,0.72377,0.48805,1.13689,0.91363,0.008614,0.008614,0.008614
16,275.806,0.56284,1.0256,0.92697,0.74329,0.79545,0.86411,0.7801,0.46861,0.99075,0.90626,0.008515,0.008515,0.008515
17,292.832,0.55651,0.97017,0.92348,0.78367,0.75199,0.84692,0.78291,0.43733,1.00421,0.88941,0.008416,0.008416,0.008416
18,309.842,0.55386,0.97057,0.9293,0.74794,0.83741,0.89187,0.81957,0.44158,0.8357,0.88704,0.008317,0.008317,0.008317
19,327.019,0.53531,0.89585,0.91527,0.77124,0.75354,0.84592,0.76334,0.50037,1.16551,0.90816,0.008218,0.008218,0.008218
